/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,待機時間,体力,パワー,アイテム0,1,2,3,4,5,6,弾の種類,弾幕種類
/cnt,mv_ptn,knd,x,y,sp,bltime,wait,hp,power,item_knd0,1,2,3,4,5,6,bul_knd,bul_ptn
500,96,4,320,100,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,5
620,102,4,400,100,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,5
620,103,4,240,100,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,5
730,100,4,240,380,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,5
740,101,4,400,380,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,5
860,98,5,400,100,3,10,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
860,99,5,140,100,3,10,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,11
1050,96,5,320,70,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
1060,100,5,455,155,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,5
1070,98,5,590,240,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
1080,102,5,455,325,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,5
1090,97,5,320,410,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
1100,103,5,185,325,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,5
1110,99,5,50,240,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
1120,101,5,185,155,3,10,100,30,5,-1,-1,-1,-1,-1,-1,-1,0,5
