/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,待機時間,体力,パワー,アイテム0,1,2,3,4,5,6,弾の種類,弾幕種類
/cnt,mv_ptn,knd,x,y,sp,bltime,wait,hp,power,item_knd0,1,2,3,4,5,6,bul_knd,bul_ptn
500,5,1,-80,300,3,50,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
500,6,1,720,300,3,50,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
550,21,1,680,0,3,15,0,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
550,22,1,-80,0,3,15,0,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
580,13,2,400,520,3,25,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,6
580,14,2,160,520,3,25,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,7
650,80,2,680,120,3.5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
670,81,2,-40,800,5,30,0,10,10,-1,-1,-1,-1,-1,-1,-1,0,4
700,78,2,680,120,3,31,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,17
700,79,2,-40,360,3,31,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,18
720,25,0,320,-40,3,31,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
730,26,0,320,520,3,31,120,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
900,42,1,320,-40,2.5,40,0,30,5,-1,-1,-1,-1,-1,-1,-1,0,6
950,37,1,-40,35,2.5,35,0,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
950,41,1,680,445,2.5,35,0,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
1300,34,1,605,-40,2.5,35,0,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
1300,38,1,35,520,2.5,35,0,30,5,-1,-1,-1,-1,-1,-1,-1,0,8
1500,25,0,320,-40,2.5,30,0,30,5,-1,-1,-1,-1,-1,-1,-1,0,10
1700,26,0,320,520,2.5,30,0,30,5,-1,-1,-1,-1,-1,-1,-1,0,9
1900,25,2,64,-40,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,5
1950,25,2,192,-40,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
2000,25,2,320,-40,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,5
2050,25,2,448,-40,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
2100,25,2,576,-40,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,5
2300,26,2,576,520,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
2350,26,2,448,520,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,5
2400,26,2,320,520,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
2450,26,2,192,520,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,5
2500,26,2,64,520,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
2700,78,2,680,48,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,5
2750,78,2,680,144,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
2800,78,2,680,240,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,5
2850,78,2,680,336,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,8
2900,78,2,680,432,2.5,30,100,10,10,-1,-1,-1,-1,-1,-1,-1,0,5
